gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000205726	26232.146742003137	0.06900168159102547	0.16962198117340985	0.4067968143850584	0.6841572266516566	0.9570784049475978
ENSG00000184351	239.86627118685828	-0.1790628628066185	0.4429008148078584	-0.4042956274178464	0.6859953405065422	0.9570784049475978
ENSG00000142168	1443.1078944173114	0.09456960982315653	0.23789587333517967	0.3975252218432312	0.6909801912053191	0.9570784049475978
ENSG00000243927	2951.7442581041546	-0.0727379414620305	0.18688714966129985	-0.3892078272575468	0.697122413750078	0.9570784049475978
ENSG00000160223	6071.690455240737	-0.07078288894777542	0.18536781645128136	-0.381851015472142	0.7025718759103663	0.9570784049475978
ENSG00000142149	2826.878522750372	0.08833733838087296	0.23250780212325242	0.37993279182109047	0.7039953049413585	0.9570784049475978
ENSG00000275993	1733.756772635663	-0.08240018211865917	0.21918010972683755	-0.37594735316700895	0.7069560356928164	0.9570784049475978
ENSG00000280433	2174.2137234322486	0.08933590638671711	0.23824563053973896	0.37497395517529136	0.7076798365506148	0.9570784049475978
ENSG00000159261	3012.0462315377226	0.06838797958213873	0.18387077010320946	0.37193502558210595	0.7099412262463983	0.9570784049475978
ENSG00000243646	3381.529755520082	0.0691232751409232	0.18985656250625185	0.36408156888781246	0.7157970996032553	0.9570784049475978
ENSG00000183486	6641.179499672553	-0.058912731772291956	0.16415735605555895	-0.3588796334679817	0.7196851362304408	0.9570784049475978
ENSG00000177398	10822.24435811539	-0.051612684794501415	0.14462694851045188	-0.3568676883946803	0.7211908599720009	0.9570784049475978
ENSG00000159256	5422.896039648468	0.06266876018295242	0.18659596230424255	0.335852713044089	0.7369819373079377	0.9570784049475978
ENSG00000156299	7076.88516530075	-0.049429594109174885	0.15014664498742814	-0.32920878194323727	0.7419978855466601	0.9570784049475978
ENSG00000173276	9010.407921846365	-0.051491913653756445	0.15755521233805317	-0.3268182174974606	0.7438053798343345	0.9570784049475978
ENSG00000186965	119.19719456243611	-0.1633692521490957	0.5199196074185676	-0.31422021754523544	0.7533537883863347	0.9570784049475978
ENSG00000160200	8370.895163499892	0.04473050575585458	0.1520803019446483	0.2941242566189463	0.7686629561368872	0.9570784049475978
ENSG00000142178	2463.8519768998253	-0.06383920769507216	0.22119521331060027	-0.2886102585114703	0.7728796442729668	0.9570784049475978
ENSG00000156256	5929.962974319449	-0.05516246000595487	0.19456595972981444	-0.2835154725038062	0.7767817226881386	0.9570784049475978
ENSG00000188992	1693.223094221626	0.07224811948499268	0.2558920172027088	0.2823383092398706	0.7776841134027355	0.9570784049475978
ENSG00000159086	6888.171293341709	-0.04744375986578203	0.16920211262574544	-0.2803969709924478	0.7791729606810375	0.9570784049475978
ENSG00000160305	12056.35812741903	0.05143643372314769	0.18761171086368025	0.27416430182506946	0.7839583603958133	0.9570784049475978
ENSG00000160190	4074.7596687501696	0.0440028487722786	0.1607130511719017	0.2737976066748451	0.7842401629631904	0.9570784049475978
ENSG00000157540	23812.367503346963	-0.038559427107259854	0.14709034862308412	-0.26214790751545203	0.7932074130009843	0.9570784049475978
ENSG00000142156	3763.2560496916417	-0.0462663822206767	0.1778752942320909	-0.260105724183981	0.794782222598519	0.9570784049475978
ENSG00000155307	5828.688200570952	0.05146615876171358	0.19958988098211938	0.25785955935473637	0.7965152965604936	0.9570784049475978
ENSG00000265590	717.5336633204989	-0.06924257270105545	0.2726559375388874	-0.25395585853023933	0.7995296600966668	0.9570784049475978
ENSG00000159228	1676.1564002887194	-0.05152560564631488	0.20663165548755383	-0.2493596904343558	0.8030825628233919	0.9570784049475978
ENSG00000242220	1685.5849696895402	-0.05327574198020996	0.22211971700645428	-0.23985147603380882	0.810445399370228	0.9570784049475978
ENSG00000156253	3143.301833214133	0.046405336210377304	0.19565533145012573	0.2371790018009626	0.8125179257353943	0.9570784049475978
ENSG00000241123	333.26870255773207	0.08185819677034377	0.3501922720808291	0.23375215073692374	0.8151773986446673	0.9570784049475978
ENSG00000159140	18731.572165972935	0.03725376640356345	0.16497261420925413	0.22581788245356968	0.8213430681087545	0.9570784049475978
ENSG00000185917	9443.150915389753	-0.032622638684860386	0.14687802190269228	-0.22210701275969738	0.8242305788084819	0.9570784049475978
ENSG00000206106	112.49509314886119	-0.13450777366386626	0.6064117106546878	-0.22180932739351356	0.8244623181100663	0.9570784049475978
ENSG00000156265	7733.159215554286	0.04066619652873223	0.1841962650226581	0.22077644475434863	0.8252665053965033	0.9570784049475978
ENSG00000279493	149.9850909864109	-0.11786528370694618	0.5453101917064268	-0.21614355553875314	0.8288758496333846	0.9570784049475978
ENSG00000182093	9966.081937382545	0.03356675016312571	0.15604252273512653	0.2151128395950339	0.8296793436802161	0.9570784049475978
ENSG00000274559	341.7444209534234	0.07700619660352423	0.3754393342870544	0.2051095598434197	0.8374865275461951	0.9570784049475978
ENSG00000171587	6203.8047520965965	0.04556017962413476	0.22306532439928345	0.20424590754671823	0.8381613383653526	0.9570784049475978
ENSG00000277117	2712.620741799339	0.04886915840472007	0.24087777979235667	0.20287947874165332	0.8392292343173643	0.9570784049475978
ENSG00000221864	213.9092818304512	0.08182654223254751	0.4048984594641891	0.2020915128717218	0.839845182728081	0.9570784049475978
ENSG00000159216	12540.840192728954	0.037215790535659814	0.18599325833762792	0.20009214779227708	0.8414085143441056	0.9570784049475978
ENSG00000182871	8751.39423494314	-0.03183091794708375	0.1611266267982895	-0.19755218972548902	0.8433954445419511	0.9570784049475978
ENSG00000156261	4776.484662414717	-0.03159367814115436	0.16474544715340772	-0.1917726934920086	0.8479202613742525	0.9570784049475978
ENSG00000159131	8715.920404578526	-0.02999180269772992	0.15661827916899046	-0.19149618331183996	0.8481368704865859	0.9570784049475978
ENSG00000160218	8653.745329575091	-0.03295612727627342	0.17991963830140378	-0.18317137354992274	0.8546635549356536	0.9570784049475978
ENSG00000160226	4291.154864235807	-0.029896473945480465	0.16960893437048227	-0.17626709380872962	0.8600841125741665	0.9570784049475978
ENSG00000184032	143.46570734440763	0.10111814394428398	0.5783433319604758	0.17484103015679694	0.8612045474686522	0.9570784049475978
ENSG00000142207	4401.959091757619	-0.04198935290286769	0.24262106913266507	-0.1730655670299925	0.8625998900321291	0.9570784049475978
